clean_name,name,clalit,maccabi,meuhedet,leumit
'ג'ורג בקלה,'ג'ורג בקלה,0,0,0,1
'ר אוהד סגל,ד''ר אוהד סגל,0,0,0,0
'ר אלוירה גור לאוטמן,ד''ר אלוירה גור לאוטמן,0,0,0,0
'ר רון גרינברג,ד''ר רון גרינברג,0,0,0,0
(nd) איגור פורטנוי,"ד""ר (ND) איגור פורטנוי",0,0,0,0
alla patraty,Alla Patraty,0,1,0,0
assadi.clinic ·  עומר דיאב אסדי,"Assadi.Clinic · ד""ר עומר דיאב אסדי",0,0,0,0
elite physio,Elite Physio,0,0,0,0
enigma beauty - אניגמה ביוטי,Enigma Beauty - אניגמה ביוטי,0,0,0,0
ikon esthetics,IKON Esthetics,0,0,0,0
impression by ml,Impression by ml,0,0,0,0
liverscan clinic - בדיקת פיברוסקאן,LIVERSCAN CLINIC - בדיקת פיברוסקאן,0,0,0,0
sharon clinic - שרון קליניק,Sharon Clinic - שרון קליניק,0,0,0,0
smile care - ד״ר מג'ד אבו רקיה,Smile Care - ד״ר מג'ד אבו רקיה,0,0,0,0
trust - בית לפיזיותרפיה,TRUST - בית לפיזיותרפיה,1,0,0,0
אבו ג׳בל תאיר,"ד""ר אבו ג׳בל תאיר",0,0,0,0
אבו חוסין היבה,"ד""ר אבו חוסין היבה",0,0,0,0
אבי אדם כהן,"ד""ר אבי אדם כהן",0,0,0,0
אבי אהרונוביץ,"ד""ר אבי אהרונוביץ",0,0,0,0
אבי ארונוביץ,אבי ארונוביץ,1,1,0,0
אבי בן שבת,"ד""ר אבי בן שבת",0,0,0,0
אבי ברכר,"ד""ר אבי ברכר",1,0,0,0
אבי גולדפרב,"ד""ר אבי גולדפרב",1,0,1,1
אבי וילדר,אבי וילדר,0,1,0,0
אבי חפץ,אבי חפץ,0,1,0,0
אבי כהן," ד""ר אבי כהן",0,1,1,1
אבי משיח,אבי משיח,0,0,0,0
אבי פלנר,"ד""ר אבי פלנר",0,0,0,0
אבי קרן,אבי קרן,1,0,1,0
אבי רובינוב,אבי רובינוב,0,0,1,0
אבי רשף,"ד""ר אבי רשף",1,1,0,1
אבי שטרן,אבי שטרן,1,0,0,0
אבי שי,אבי שי,0,1,0,0
אבי שני,"ד""ר אבי שני",0,0,0,0
אביאל בנקימון,אביאל בנקימון,0,1,0,0
אביאל חדד,"ד""ר אביאל חדד",0,1,0,0
אביב אורון,אביב אורון,0,1,0,0
אביב גור,"ד""ר אביב גור",0,0,0,0
אביב וידן,אביב וידן,1,0,0,0
אביב מגר,אביב מגר,1,0,0,0
אביבית שוהם,"ד""ר אביבית שוהם",0,0,0,0
אביגדור בר-סף,אביגדור בר-סף,1,0,0,0
אביגדור ליפסקי,אביגדור ליפסקי,1,1,0,0
אביגדור סרברניק,אביגדור סרברניק,0,1,0,1
אביגיל אלקס דבי,"ד""ר אביגיל אלקס דבי",0,0,0,0
אביגיל אמבר,אביגיל אמבר,0,1,0,1
אביגיל ארד כהן,אביגיל ארד כהן,0,0,0,1
אבידן לרון - מרכז מומחים לרון,"ד""ר אבידן לרון - מרכז מומחים לרון",0,0,0,0
אביה רוזנטל,"ד""ר אביה רוזנטל",0,0,0,0
אביה שרעבי,אביה שרעבי,0,0,0,0
אביחי סגל,אביחי סגל,0,1,0,0
אביטל אבריאל,"ד""ר אביטל אבריאל",0,1,0,1
אביטל בניאל,אביטל בניאל,0,1,0,0
אביטל גלאובך,"ד""ר אביטל גלאובך",0,0,0,0
אביטל יוסף,"ד""ר אביטל יוסף",0,0,0,0
אבינועם גורדין,אבינועם גורדין,0,1,0,0
אבינועם שטרן,אבינועם שטרן,1,0,0,0
אביעד גרביץ,"ד""ר אביעד גרביץ",1,0,0,0
אביעד הדר,"ד""ר אביעד הדר",0,0,0,0
אביעד הופמן,"ד""ר אביעד הופמן",0,0,0,0
אביעד וילנסקי,"ד""ר אביעד וילנסקי",0,0,0,0
אביקם הראל,"ד""ר אביקם הראל",1,0,1,1
אבירם זיילר,"ד""ר אבירם זיילר",0,0,0,0
אבירם מאיר - מרפאות טיפול בחיוך,"ד""ר אבירם מאיר - מרפאות טיפול בחיוך",0,0,0,0
אבירם נצר,אבירם נצר,0,1,0,0
