name,raw_name,specialty,norm_name,norm_specialty,source
פרופ אבידן אלכסנדר,אבידן אלכסנדר,מומחה בהרדמה,אלכסנדר אבידן,בהרדמה,IMA
פרופ אבידן אלכסנדר,אבידן אלכסנדר,,אלכסנדר אבידן,,IMA
"ד""ר זילברשטיין אריאל",זילברשטיין אריאל,מומחה בפסיכיאטריה,אריאל זילברשטיין,בפסיכיאטריה,IMA
"ד""ר זילברשטיין אריאל",זילברשטיין אריאל,,אריאל זילברשטיין,,IMA
פרופ קפלן זאב,קפלן זאב,מומחה בפסיכיאטריה,זאב קפלן,בפסיכיאטריה,IMA
פרופ קפלן זאב,קפלן זאב,,זאב קפלן,,IMA
פרופ מולד יאיר,מולד יאיר,"מומחה בראומטולוגיה, מומחה ברפואה פנימית",יאיר מולד,בראומטולוגיה מומחה ברפואה פנימית,IMA
פרופ מולד יאיר,מולד יאיר,,יאיר מולד,,IMA
"ד""ר עוויסאת הייתם",עוויסאת הייתם,"מתמחה ברפואה דחופה, מומחה בכירורגיה כללית",הייתם עוויסאת,ברפואה דחופה מומחה בכירורגיה כללית,IMA
"ד""ר עוויסאת הייתם",עוויסאת הייתם,,הייתם עוויסאת,,IMA
"ד""ר הגש יוליוס",הגש יוליוס,"מומחה בקרדיולוגית ילדים, מומחה ברפואת ילדים, מומחה בקרדיולוגיה",יוליוס הגש,בקרדיולוגית ילדים מומחה ברפואת ילדים מומחה בקרדיולוגיה,IMA
"ד""ר הגש יוליוס",הגש יוליוס,,יוליוס הגש,,IMA
"ד""ר הלוי חן",הלוי חן,מומחה בנוירולוגיה,חן הלוי,בנוירולוגיה,IMA
"ד""ר הלוי חן",הלוי חן,,חן הלוי,,IMA
פרופ אבנת תמיר שרוןמומחית במחלות א.א.ג וכירורגיה של ראש וצוואר,אבנת תמיר שרוןמומחית במחלות א.א.ג וכירורגיה של ראש וצוואר,,וצוואר ראש של וכירורגיה א.א.ג במחלות שרוןמומחית תמיר אבנת,,IMA
פרופ אבנת תמיר שרון,אבנת תמיר שרון,,שרון תמיר אבנת,,IMA
"ד""ר דויטש אלימלך",דויטש אלימלך,מומחה במחלות א.א.ג וכירורגיה של ראש וצוואר,אלימלך ויטש,במחלות א.א.ג וכירורגיה של ראש וצוואר,IMA
"ד""ר דויטש אלימלך",דויטש אלימלך,,אלימלך ויטש,,IMA
"ד""ר באואר אריה",באואר אריה,מומחה בפסיכיאטריה,אריה באואר,בפסיכיאטריה,IMA
"ד""ר באואר אריה",באואר אריה,,אריה באואר,,IMA
"ד""ר אברמוביץ יהודה",אברמוביץ יהודה,מומחה בפסיכיאטריה,יהודה אברמוביץ,בפסיכיאטריה,IMA
"ד""ר אברמוביץ יהודה",אברמוביץ יהודה,,יהודה אברמוביץ,,IMA
פרופ לייטרסדורף ערן,לייטרסדורף ערן,מומחה ברפואה פנימית,ערן לייטרסדורף,ברפואה פנימית,IMA
פרופ לייטרסדורף ערן,לייטרסדורף ערן,,ערן לייטרסדורף,,IMA
"ד""ר כסיף יגאל",כסיף יגאל,מומחה בכירורגיה של בית החזה,יגאל כסיף,בכירורגיה של בית החזה,IMA
"ד""ר כסיף יגאל",כסיף יגאל,,יגאל כסיף,,IMA
"ד""ר פרידמן נמרוד",פרידמן נמרוד,מומחה בכירורגיה פלסטית ואסתטית,נמרוד פרידמן,בכירורגיה פלסטית ואסתטית,IMA
"ד""ר פרידמן נמרוד",פרידמן נמרוד,,נמרוד פרידמן,,IMA
"ד""ר יוטקין ולדימיר",יוטקין ולדימיר,מומחה בכירורגיה אורולוגית,ולדימיר יוטקין,בכירורגיה אורולוגית,IMA
"ד""ר יוטקין ולדימיר",יוטקין ולדימיר,,ולדימיר יוטקין,,IMA
"ד""ר מרגוליס אריאל",מרגוליס אריאל,מומחה במחלות א.א.ג וכירורגיה של ראש וצוואר,אריאל גוליס,במחלות א.א.ג וכירורגיה של ראש וצוואר,IMA
"ד""ר מרגוליס אריאל",מרגוליס אריאל,,אריאל גוליס,,IMA
"ד""ר גולדפרב אברהם",גולדפרב אברהם,מומחה במחלות א.א.ג וכירורגיה של ראש וצוואר,אברהם גולדפרב,במחלות א.א.ג וכירורגיה של ראש וצוואר,IMA
"ד""ר גולדפרב אברהם",גולדפרב אברהם,,אברהם גולדפרב,,IMA
"ד""ר טשליקוב ודים",טשליקוב ודים,"מומחה ברפואה לשיכוך כאב, מומחה בנוירולוגיה",ודים טשליקוב,ברפואה לשיכוך כאב מומחה בנוירולוגיה,IMA
"ד""ר טשליקוב ודים",טשליקוב ודים,,ודים טשליקוב,,IMA
פרופ סלומון אברהם,סלומון אברהם,מומחה במחלות עיניים,אברהם סלומון,במחלות עיניים,IMA
פרופ סלומון אברהם,סלומון אברהם,,אברהם סלומון,,IMA
פרופ אורון יהב,אורון יהב,מומחה במחלות א.א.ג וכירורגיה של ראש וצוואר,יהב אורון,במחלות א.א.ג וכירורגיה של ראש וצוואר,IMA
פרופ אורון יהב,אורון יהב,,יהב אורון,,IMA
"ד""ר פרנץ יוסף",פרנץ יוסף,מומחה במחלות עיניים,יוסף פרנץ,במחלות עיניים,IMA
"ד""ר פרנץ יוסף",פרנץ יוסף,,יוסף פרנץ,,IMA
פרופ ליאל יאיר,ליאל יאיר,"מומחה באנדוקרינולוגיה, מומחה ברפואה פנימית",יאיר ליאל,באנדוקרינולוגיה מומחה ברפואה פנימית,IMA
פרופ ליאל יאיר,ליאל יאיר,,יאיר ליאל,,IMA
פרופ טנה דוד,טנה דוד,מומחה בנוירולוגיה,דוד טנה,בנוירולוגיה,IMA
פרופ טנה דוד,טנה דוד,,דוד טנה,,IMA
"ד""ר פרבר נמרוד",פרבר נמרוד,מומחה בכירורגיה פלסטית ואסתטית,נמרוד פרבר,בכירורגיה פלסטית ואסתטית,IMA
"ד""ר פרבר נמרוד",פרבר נמרוד,,נמרוד פרבר,,IMA
"ד""ר צוקרמן רוברט",צוקרמן רוברט,"מומחה בקרדיולוגיה, מומחה ברפואה פנימית",רוברט צוקרמן,בקרדיולוגיה מומחה ברפואה פנימית,IMA
"ד""ר צוקרמן רוברט",צוקרמן רוברט,,רוברט צוקרמן,,IMA
פרופ ברגר איתי,ברגר איתי,"מומחה בנוירו ילדים והתפתחות הילד, מומחה בנוירולוגית ילדים, מומחה ברפואת ילדים",איתי ברגר,בנוירו ילדים והתפתחות הילד מומחה בנוירולוגית ילדים מומחה ברפואת ילדים,IMA
פרופ ברגר איתי,ברגר איתי,,איתי ברגר,,IMA
פרופ חורב אמיר,חורב אמיר,מומחה במחלות עור ומין,אמיר חורב,במחלות עור ומין,IMA
פרופ חורב אמיר,חורב אמיר,,אמיר חורב,,IMA
"ד""ר מדורסקי פלדמן דנהמומחית בכירורגיה כללית",מדורסקי פלדמן דנהמומחית בכירורגיה כללית,,כללית בכירורגיה דנהמומחית פלדמן מדורסקי,,IMA
"ד""ר מדורסקי פלדמן דנה",מדורסקי פלדמן דנה,,דנה פלדמן מדורסקי,,IMA
"ד""ר לימון דרור",לימון דרור,מומחה באונקולוגיה,דרור לימון,באונקולוגיה,IMA
"ד""ר לימון דרור",לימון דרור,,דרור לימון,,IMA
"ד""ר פוזנר עידיתמומחית בנוירו ילדים והתפתחות הילד, מומחית בנוירולוגית ילדים, מומחית ברפואת ילדים","פוזנר עידיתמומחית בנוירו ילדים והתפתחות הילד, מומחית בנוירולוגית ילדים, מומחית ברפואת ילדים",,"ילדים ברפואת מומחית ילדים, בנוירולוגית מומחית הילד, והתפתחות ילדים בנוירו עידיתמומחית פוזנר",,IMA
"ד""ר פוזנר עידית",פוזנר עידית,,עידית פוזנר,,IMA
"ד""ר הר-טוב יוסף",הר-טוב יוסף,מומחה ביילוד וגינקולוגיה,יוסף הר-טוב,ביילוד וגינקולוגיה,IMA
"ד""ר הר-טוב יוסף",הר-טוב יוסף,,יוסף הר-טוב,,IMA
"ד""ר בלשר יורם",בלשר יורם,"מומחה ברפואה דחופה, מומחה בנפרולוגית ילדים, מומחה ברפואת ילדים",יורם בלשר,ברפואה דחופה מומחה בנפרולוגית ילדים מומחה ברפואת ילדים,IMA
"ד""ר בלשר יורם",בלשר יורם,,יורם בלשר,,IMA
"ד""ר ריבקין גוריון",ריבקין גוריון,מומחה בכירורגיה אורתופדית,גוריון ריבקין,בכירורגיה אורתופדית,IMA
"ד""ר ריבקין גוריון",ריבקין גוריון,,גוריון ריבקין,,IMA
פרופ שכטר מיכאל,שכטר מיכאל,מומחה בקרדיולוגיה,מיכאל שכטר,בקרדיולוגיה,IMA
פרופ שכטר מיכאל,שכטר מיכאל,,מיכאל שכטר,,IMA
"ד""ר אהרון מיכאל",אהרון מיכאל,מומחה בכירורגיה אורתופדית,מיכאל אהרון,בכירורגיה אורתופדית,IMA
"ד""ר אהרון מיכאל",אהרון מיכאל,,מיכאל אהרון,,IMA
"ד""ר כרם נגהמומחית ברפואת ילדים",כרם נגהמומחית ברפואת ילדים,,ילדים ברפואת נגהמומחית כרם,,IMA
"ד""ר כרם נגה",כרם נגה,,נגה כרם,,IMA
"ד""ר וייס יובל",וייס יובל,"מומחה במינהל רפואי, מומחה בהרדמה",יובל וייס,במינהל רפואי מומחה בהרדמה,IMA
"ד""ר וייס יובל",וייס יובל,,יובל וייס,,IMA
"ד""ר פאהום פיראס",פאהום פיראס,מומחה בנוירולוגיה,פיראס פאהום,בנוירולוגיה,IMA
"ד""ר פאהום פיראס",פאהום פיראס,,פיראס פאהום,,IMA
"ד""ר גלילי מוסברג רוניתמומחית בנוירולוגיה",גלילי מוסברג רוניתמומחית בנוירולוגיה,,בנוירולוגיה רוניתמומחית מוסברג גלילי,,IMA
"ד""ר גלילי מוסברג רונית",גלילי מוסברג רונית,,רונית מוסברג גלילי,,IMA
"ד""ר רייס ארי",רייס ארי,מומחה ביילוד וגינקולוגיה,ארי רייס,ביילוד וגינקולוגיה,IMA
"ד""ר רייס ארי",רייס ארי,,ארי רייס,,IMA
"ד""ר כהן אושר",כהן אושר,"מומחה בכירורגית ילדים, מומחה בכירורגיה כללית",אושר כהן,בכירורגית ילדים מומחה בכירורגיה כללית,IMA
"ד""ר כהן אושר",כהן אושר,,אושר כהן,,IMA
"ד""ר קוסלובסקי בנימין",קוסלובסקי בנימין,"מומחה בגסטרואנטרולוגיה, מומחה ברפואה פנימית",בנימין קוסלובסקי,בגסטרואנטרולוגיה מומחה ברפואה פנימית,IMA
