med_name,ima_name,norm_name,med_specialty,ima_specialty,confidence,name_match,specialty_match,med_idx,ima_idx
"ד""ר אמיר אורון",אורון אמיר,אמיר אורון,כירורגיה של היד,"מומחה בכירורגיה של היד, מומחה בכירורגיה אורתופדית",1.0,True,False,2,894
"ד""ר ירון ברין",ברין ירון,ירון ברין,כירורגיה אורתופדית,מומחה בכירורגיה אורתופדית,1.0,True,False,3,3554
"ד""ר אופיר אורי",אורי אופיר,אופיר אורי,כירורגיה אורתופדית,מומחה בכירורגיה אורתופדית,1.0,True,False,4,1459
פרופ' נדב משען,משען נדב,נדב משען,גינקולוגיה ומיילדות,מומחה ביילוד וגינקולוגיה,1.0,True,False,10,4785
"ד""ר ארנון אגמון",אגמון ארנון,ארנון אגמון,אולטרסאונד במיילדות גינקולוגיה ופריון,מומחה ביילוד וגינקולוגיה,1.0,True,False,13,5856
פרופ' ליאור פרל,פרל ליאור,ליאור פרל,"רפואה פנימית, קרדיולוגיה","מומחה בקרדיולוגיה, מומחה ברפואה פנימית",1.0,True,False,14,4632
"ד""ר נעם ארמון",ארמון נעם,נעם ארמון,כירורגיה פלסטית,מומחה בכירורגיה פלסטית ואסתטית,1.0,True,False,20,556
"ד""ר עדי נחום",נחום עדי,עדי נחום,רפואת עיניים,מומחה במחלות עיניים,1.0,True,False,38,2714
"ד""ר ולדימיר יוטקין",יוטקין ולדימיר,ולדימיר יוטקין,כירורגיה אורולוגית,מומחה בכירורגיה אורולוגית,1.0,True,False,41,28
" ד""ר יוסף ברגר",ברגר יוסף,יוסף ברגר,כירורגיה פלסטית,מומחה בכירורגיה פלסטית ואסתטית,1.0,True,False,60,5520
"ד""ר אריאל טיסונה",טיסונה אריאל,אריאל טיסונה,כירורגיה פלסטית,מומחה בכירורגיה פלסטית ואסתטית,1.0,True,False,96,781
"ד""ר ערן מילט",מילט ערן,ערן מילט,כירורגיה פלסטית,מומחה בכירורגיה פלסטית ואסתטית,1.0,True,False,110,394
"ד""ר שמואל גרפי",גרפי שמואל,שמואל גרפי,עיניים,מומחה במחלות עיניים,1.0,True,False,119,5246
"ד""ר ניר נתנזון",נתנזון ניר,ניר נתנזון,עור ומין,מומחה במחלות עור ומין,1.0,True,False,131,1954
"ד""ר אורי שולמן",שולמן אורי,אורי שולמן,כירורגיה פלסטית,מומחה בכירורגיה פלסטית ואסתטית,1.0,True,False,132,5224
"ד""ר אריק בראל",בראל אריק,אריק בראל,כירורגיה פלסטית,מומחה בכירורגיה פלסטית ואסתטית,1.0,True,False,159,1389
"ד""ר חיים קפלן",קפלן חיים,חיים קפלן,כירורגיה פלסטית,מומחה בכירורגיה פלסטית ואסתטית,1.0,True,False,171,4352
"ד""ר מאהר חג'אזי",חג'אזי מאהר,מאהר חג'אזי,"גריאטריה, פנימית","מומחה בגריאטריה, מומחה ברפואה פנימית",1.0,True,False,225,396
" ד""ר יזהר אריאלי",אריאלי יזהר,יזהר אריאלי,כירורגיה אורתופדית,מומחה בכירורגיה אורתופדית,1.0,True,False,237,1174
"ד""ר מנאר קעואר",קעואר מנאר,מנאר קעואר,כירורגיה פלסטית,מומחה בכירורגיה פלסטית ואסתטית,1.0,True,False,240,829
"ד""ר גבי הרן",הרן גבי,גבי הרן,גינקולוגיה ומיילדות,מומחה ביילוד וגינקולוגיה,1.0,True,False,241,2036
"ד""ר אליאס מטאנס",מטאנס אליאס,אליאס מטאנס,כירורגיה פלסטית,מומחה בכירורגיה פלסטית ואסתטית,1.0,True,False,252,1885
"ד""ר ואדים בנקוביץ",בנקוביץ ואדים,ואדים בנקוביץ,"כירורגיה אורטופדית, השתלת מפרקים",מומחה בכירורגיה אורתופדית,1.0,True,False,260,550
"ד""ר חגי אביזמר",אביזמר חגי,חגי אביזמר,"רפואת עיניים,  ניתוחי קטרקט וקרנית",מומחה במחלות עיניים,1.0,True,False,271,2591
"ד""ר גיל ירושלמי",ירושלמי גיל,גיל ירושלמי,"גינקולוגיה, פריון, הפריה חוץ גופית",מומחה ביילוד וגינקולוגיה,1.0,True,False,283,902
"ד""ר אליאס חדאד",חדאד אליאס,אליאס חדאד,"כירורגיה אורטופדית, אורתופדיה עמוד שדרה",מומחה בכירורגיה אורתופדית,1.0,True,False,284,2938
"ד""ר איתי הולצר",הולצר איתי,איתי הולצר,"כירורגיה אורטופדיה, החלפת מפרקי ירך וברך",מומחה בכירורגיה אורתופדית,1.0,True,False,287,3827
"ד""ר איתן ברמן",ברמן איתן,איתן ברמן,"דרמטולוג, רופא עור מומחה",מומחה במחלות עור ומין,1.0,True,False,324,3761
פרופ' ליאור שגב,שגב ליאור,ליאור שגב,"כירורגיה כללית, כירורגיה קולורקטלית ופרוקטולוגית",מומחה בכירורגיה כללית,1.0,True,False,343,470
"ד""ר יורי מנוסקין",מנוסקין יורי,יורי מנוסקין,"כירורגיה כללית, כירורגיה לפרוסקופית, בקעים",מומחה בכירורגיה כללית,1.0,True,False,346,2638
"ד""ר עומר וולף",וולף עומר,עומר וולף,כירורגיה פלסטית,מומחה בכירורגיה פלסטית ואסתטית,1.0,True,False,407,3651
"ד""ר רוג'ה נג'אר",נג'אר רוג'ה,רוג'ה נג'אר,כירורגיה פלסטית,מומחה בכירורגיה פלסטית ואסתטית,1.0,True,False,438,2396
"ד""ר שניר הלר",הלר שניר,שניר הלר,"החלפת מפרקים, כירורגיה אורתופדית",מומחה בכירורגיה אורתופדית,1.0,True,False,439,2934
"ד""ר ניר גבריאל",גבריאל ניר,ניר גבריאל,"כירורג כלי דם, כירורגיה כללית","מומחה בכירורגית כלי-דם, מומחה בכירורגיה כללית",1.0,True,False,454,1425
"ד""ר מאיר רצ'קימן",רצ'קימן מאיר,מאיר רצ'קימן,כירורגיה פלסטית ואסתטית,מומחה בכירורגיה פלסטית ואסתטית,1.0,True,False,466,1102
"ד""ר אמיר חדייר",חדייר אמיר,אמיר חדייר,"עיניים, קטרקט, רשתית, טיפולי לייזר",מומחה במחלות עיניים,1.0,True,False,475,4616
"ד""ר רון יניב",יניב רון,רון יניב,"רפואת עור, רפואה אסתטית",מומחה במחלות עור ומין,1.0,True,False,487,3472
"ד""ר ולדיסלב יריומין",יריומין ולדיסלב,ולדיסלב יריומין,נוירולוגיה,מומחה בנוירולוגיה,1.0,True,False,539,729
"ד""ר אוליבר קרייגר",קרייגר אוליבר,אוליבר קרייגר,"רפואה אסתטית, עור ומין",מומחה במחלות עור ומין,1.0,True,False,576,972
"ד""ר עומר גנדלמן",גנדלמן עומר,עומר גנדלמן,"ראומטולוגיה, רפואה פנימית","מומחה בראומטולוגיה, מומחה ברפואה פנימית",1.0,True,False,589,1526
"ד""ר טל אורון",אורון טל,טל אורון,אנדוקרינולוגית ילדים,"מומחה באנדוקרינולוגית ילדים, מומחה ברפואת ילדים",1.0,True,False,606,715
