moh_name,ima_name,norm_name,moh_specialty,ima_specialty,confidence,name_match,specialty_match,moh_idx,ima_idx
שטרן צבי,שטרן צבי,צבי שטרן,רפואה פנימית,"מומחה במינהל רפואי, מומחה ברפואה פנימית",1.0,True,False,12,699
כץ שלום,כץ שלום,שלום כץ,כירורגיה אורולוגית,מומחה בכירורגיה אורולוגית,1.0,True,False,47,5959
קוגוסובסקי אברהם,קוגוסובסקי אברהם,אברהם קוגוסובסקי,יילוד וגינקולוגיה,מומחה ביילוד וגינקולוגיה,1.0,True,False,100,436
בור עודד,בור עודד,עודד בור,מחלות עיניים,מומחה במחלות עיניים,1.0,True,False,102,4534
רשף אבנר,רשף אבנר,אבנר רשף,רפואה פנימית,"מומחה באימונולוגיה ואלרגולוגיה, מומחה ברפואה פנימית",1.0,True,False,119,592
פרל אליעזר,פרל אליעזר,אליעזר פרל,פסיכיאטריה,מומחה בפסיכיאטריה,1.0,True,False,171,840
לאופר נרי,לאופר נרי,נרי לאופר,יילוד וגינקולוגיה,מומחה ביילוד וגינקולוגיה,1.0,True,False,286,3584
אברהם דוד,אברהם דוד,דוד אברהם,דרמטולוגיה-מחלות עור ומין,מומחה במחלות עור ומין,1.0,True,False,293,3218
גליק בנימין,גליק בנימין,בנימין גליק,נוירולוגיית ילדים,"מומחה בנוירו ילדים והתפתחות הילד, מומחה בנוירולוגית ילדים, מומחה ברפואת ילדים",1.0,True,False,352,244
כהן יוסף,כהן יוסף,יוסף כהן,רפואה פנימית,"מומחה בהמטולוגיה, מומחה ברפואה פנימית",1.0,True,False,358,4406
קליר ישראל,קליר ישראל,ישראל קליר,כירורגיה אורתופדית,מומחה בכירורגיה אורתופדית,1.0,True,False,359,596
צפלר עמנואל,צפלר עמנואל,עמנואל צפלר,מחלות עיניים,מומחה במחלות עיניים,1.0,True,False,383,1164
קויפמן צבי,קויפמן צבי,צבי קויפמן,כירורגיה כללית,מומחה בכירורגיה כללית,1.0,True,False,443,3248
אמיר יעקב,אמיר יעקב,יעקב אמיר,רפואת ילדים,"מומחה במחלות זיהומיות, מומחה ברפואת ילדים",1.0,True,False,451,1000
ערד יוסף,ערד יוסף,יוסף ערד,רפואת ילדים,"מומחה באנדוקרינולוגית ילדים, מומחה באנדוקרינולוגיה, מומחה ברפואת ילדים",1.0,True,False,509,1552
