clean_name,clalit,maccabi,meuhedet,leumit
'ר אוהד סגל,0,0,0,0
'ר אלוירה גור לאוטמן,0,0,0,0
'ר רון גרינברג,0,0,0,0
(nd) איגור פורטנוי,0,0,0,0
assadi.clinic ·  עומר דיאב אסדי,0,0,0,0
elite physio,0,0,0,0
enigma beauty - אניגמה ביוטי,0,0,0,0
ikon esthetics,0,0,0,0
impression by ml,0,0,0,0
liverscan clinic - בדיקת פיברוסקאן,0,0,0,0
sharon clinic - שרון קליניק,0,0,0,0
smile care - ד״ר מג'ד אבו רקיה,0,0,0,0
trust - בית לפיזיותרפיה,1,0,0,0
אבו ג׳בל תאיר,0,0,0,0
אבו חוסין היבה,0,0,0,0
אבי אדם כהן,0,0,0,0
אבי אהרונוביץ,0,0,0,0
אבי אלגום,0,1,0,0
אבי בן שבת,0,0,0,0
אבי ברכר,1,0,0,0
אבי גולדפרב,1,0,1,1
אבי כהן,0,1,1,1
אבי פלנר,0,0,0,0
אבי רשף,1,1,0,1
אבי שני,0,0,0,0
אביאל חדד,0,1,0,0
אביב גור,0,0,0,0
אביבית שוהם,0,0,0,0
אביגיל אלקס דבי,0,0,0,0
אבידן לרון - מרכז מומחים לרון,0,0,0,0
אביה רוזנטל,0,0,0,0
אביטל אבריאל,0,1,0,1
אביטל גלאובך,0,0,0,0
אביטל יוסף,0,0,0,0
אביעד גרביץ,1,0,0,0
אביעד הדר,0,0,0,0
אביעד הופמן,0,0,0,0
אביעד וילנסקי,0,0,0,0
אביקם הראל,1,0,1,1
אבירם זיילר,0,0,0,0
אבירם מאיר - מרפאות טיפול בחיוך,0,0,0,0
אבישי וינברגר,0,0,0,0
אבישי שטל-אלטמן,0,0,0,0
אבנר בר דיין,0,1,0,0
אבנר הוסטובסקי,1,1,0,1
אבנר חורי,0,0,0,0
אברהם אברג'ל,0,0,0,0
אברהם אלטרגוט,1,1,1,1
אברהם אמיר,0,0,0,0
אברהם לוי,0,0,0,0
אברהם פינקלמן,0,0,0,0
אברהם צצשוילי,1,0,0,1
אברי רווה,0,0,0,0
אדוארדו שכטר,0,1,0,0
אדווה מנסורה,1,0,1,0
אדים ראבי,0,0,0,0
אדם אבו עביד,0,1,0,0
אדם ארנרייך,0,1,0,0
אדם דלאל,0,0,0,0
אדם לאוב,0,0,0,0
אדם פינחסוב,0,0,0,0
אדם פרקש,0,0,0,0
אדמית בן חיים קדוש,0,0,0,0
אדנטיקה סמייל - adentica smile,0,0,0,0
אדריאן טודור,0,0,0,0
אדריאנה דל גיגליו,0,0,0,0
אהוד (אודי) רייך,0,0,0,0
אהוד ברג,0,0,0,0
אהוד גנסין,0,0,0,0
אהוד גרינשטין,0,1,0,0
אהוד דרוקר,0,0,0,0
אהוד זיגמונד,0,0,0,0
אהוד מילר,0,1,0,1
אהוד רוזיצקי,0,0,0,0
אהוד רז,0,0,1,0
אהרון בני nd r.na,0,0,0,1
אהרון ליברזון,0,0,0,0
אהרון מדינה,1,1,0,0
אהרון עמיר,0,0,0,0
אוֹרָן צומן,0,0,0,0
