moh_name,med_name,moh_specialty,med_specialty,spec_match
ברבלק איל,"ד""ר איל ברבלק",כירורגיה אורתופדית,אורתופדיית עמוד שדרה,False
לאופר גיל,"ד""ר גיל לאופר",כירורגיה אורתופדית,אורטופד,False
אורון אמיר,"ד""ר אמיר אורון",כירורגיה של היד,כירורגיה של היד,True
אורי אופיר,"ד""ר אופיר אורי",כירורגיה אורתופדית,כירורגיה אורתופדית,True
סלע ירון,"ד""ר ירון סלע",כירורגיה אורתופדית,"כירורגיה אורתופדית, כירורגית כף יד",True
חדש אורי,"ד""ר אורי חדש",כירורגיה אורתופדית,כירורגיה אורתופדית,True
משען נדב,פרופ' נדב משען,יילוד וגינקולוגיה,גינקולוגיה ומיילדות,False
ברקוביץ ירון,"ד""ר ירון ברקוביץ",כירורגיה אורתופדית,אורתופדיה,False
אגמון ארנון,"ד""ר ארנון אגמון",יילוד וגינקולוגיה,אולטרסאונד במיילדות גינקולוגיה ופריון,False
פרל ליאור,פרופ' ליאור פרל,רפואה פנימית,"רפואה פנימית, קרדיולוגיה",True
מעוז גיא,"ד""ר גיא מעוז",כירורגיה אורתופדית,כירורגיה אורטופדית,False
ארמון נעם,"ד""ר נעם ארמון",כירורגיה פלסטית ואסתטית,כירורגיה פלסטית,True
ברוכים אילן,פרופ' אילן ברוכים,יילוד וגינקולוגיה,"יילוד וגינקולוגיה, רפואת נשים",True
לובובסקי עמרי,"ד""ר עמרי לובובסקי",כירורגיה אורתופדית,"החלפת מפרקים, אורתופדיה",False
פרידמן בוריס,"ד""ר בוריס פרידמן",כירורגיה אורולוגית,אורולוגיה כירורגית,False
רובינראוט אסתר,"ד""ר אסתר רובינראוט",כירורגיה של היד,אורטופדיה,False
חוראני ניזאר,"ד""ר ניזאר חוראני",נוירולוגיה,נוירולוגיה,True
יוטקין ולדימיר,"ד""ר ולדימיר יוטקין",כירורגיה אורולוגית,כירורגיה אורולוגית,True
חדי אפרת,"ד""ר אפרת חדי",יילוד וגינקולוגיה,רפואת נשים,False
דבי רונן,פרופ' רונן דבי,כירורגיה אורתופדית,החלפות מפרקים - ברכיים וירכיים,False
חדד ערן,"ד""ר ערן חדד",כירורגיה פלסטית ואסתטית,כירורגיה פלסטית,True
אטינגר מיכאל,"ד""ר מיכאל אטינגר",קרדיולוגיה,רפואת שיניים,False
פרנקין יוליה,"ד""ר יוליה פרנקין",,רפואה אסתטית,False
